roomid,placeid
RMZ Ecospace,ChIJ7dgtPAoTrjsR15qkfCdsBic
Hoskote,ChIJG9pLtngFrjsRiC9fWki2JBc
Netra Tech Park,ChIJs-51n4oRrjsRq_RgU6ckaMI
Sarjapur,ChIJfyvmH-FyrjsRD0NBLLRY-5A
Ravoos Temple Bells,ChIJWSygP-1YrjsRPJ_2TuLLczY
Kaggadasapura,ChIJLy0ycl0RrjsRPDtUMy_Imnc
International Tech Park (ITPL),ChIJM06bKOURrjsRT4FRUbtpobQ
IBC Knowledge Park,ChIJu-PBlK0VrjsRCIpQmWCt5pM
"Harita IT Park, Electronic City",ChIJEzoXWYdsrjsRnV5kEO2XaVQ
Bagaluru,ChIJS7iGHukbrjsRTXpQSHZ1QtM
Malleshwaram,ChIJw895_389rjsRvqWkRnqsut8
Ganga Nagar,ChIJMT6KEbcXrjsRmE6Je24lUy8
Dabaspete,ChIJh8IaV4LVsTsR7ie2AKINJaM
Prestige Shantiniketan Techpark,ChIJ9eXuMJQRrjsRI6AKrDSKFyU
Amrita university bangalore,ChIJ8T-al0cTrjsRNcZN56OrnbY
Embassy Golf Links Business Park,ChIJBSCmOAwUrjsRo74fKgI_Q9E
Brookefield,ChIJMXz1nyQSrjsRapXq4IDC75I
Cyber Park,ChIJk75Sy4dsrjsRlo-6BXPwGL8
Nandi Hill,ChIJF-r860XksTsRCGYZWSn3ORY
Cox Town,ChIJKdjjJ-wWrjsRS8QhpJ5rUeU
raey road,ChIJCUhJYUnO5zsRYuSYH3d60_A
dockyard,ChIJf42xcEnO5zsRhSJ5sf-tObA
Uthalsar,ChIJX9LbUDm55zsRp3Ms7MD9pPU
Sarjapur Attibele Road,ChIJMW_R1-RyrjsRDhSBR5icUS0
Airoli,ChIJq7XYPVK_5zsRYdphOfen6Z0
New Panvel,ChIJk185ddbp5zsRIed5qjOaJRc
Nerul,ChIJEXVtDsDD5zsR7CgDlh93xK8
Ravoos Temple Bells,ChIJQ6PD8UYSrjsRhV-seS2qIN8
Shesha Shyla,ChIJOQRbK_cTrjsRxnwBViej7ww
Sai Apartments,ChIJaRwn1_ATrjsRaR1yXH3swvI
Shiva enclave,ChIJCYooPfETrjsRTaDyAKqMA3U
Jubliee Meredian,ChIJadre2PATrjsRR--s3d0layY
Phoenix Enclave,ChIJW5V6wPATrjsRJE1Znpr3Ljw
Sai Residency,ChIJ1Zue2_ATrjsRw8Xf5eNNQjs
Vars all seasons,ChIJkxQIzvATrjsRMUo_TBAgFrU
Rifco aruna apartment,ChIJi-p6LfcTrjsRifXBa9qkbCM
Shiva darshan apartment,ChIJCX_oNPcTrjsR3VZwX98WSOE
RKR villa,ChIJcQL2tfATrjsR7Ed4pT6YtTI
Sri nivasam,ChIJCclfyfATrjsRk60bbj9ioCM
Sri nilayam,ChIJO6MCyfATrjsRNfglYs4DaRQ
Konena agrahara,ChIJfywAAfETrjsR7dks-MSxAZ8
Elite Apartment,ChIJDXzOzUYSrjsRfRyeZDsRekM
Panvel,ChIJPfIjHz7o5zsRCv3jMcQGoeM
Kharghar,ChIJgwvjUxrC5zsR1wl3aJ-yZqc
Antop Hill,ChIJX8kzsDDP5zsRMsh9wxOp1g4
Sir JJ Road,ChIJbXBVIkHO5zsRPnA2wBgIprI
Trombay,ChIJa2NwNcHF5zsRSI_8uVIdtJk
Linking Road,ChIJi6BAZw7J5zsR0_lhVM0e6xc
